Day,Date,Confirmed
348,13-02-2021,318710
349,14-02-2021,318820
350,15-02-2021,318923
351,16-02-2021,319005
352,17-02-2021,319065
353,18-02-2021,319166
354,19-02-2021,319270
355,20-02-2021,319363
356,21-02-2021,319461
357,22-02-2021,319543
358,23-02-2021,319626
359,24-02-2021,319702
360,25-02-2021,319801
361,26-02-2021,319929
362,27-02-2021,320078
363,28-02-2021,320180
364,01-03-2021,320336
365,02-03-2021,320455
366,03-03-2021,320557
367,04-03-2021,320772
368,05-03-2021,320928
369,06-03-2021,321123
370,07-03-2021,321356
371,08-03-2021,321532
372,09-03-2021,321711
373,10-03-2021,321890
374,11-03-2021,321890
375,12-03-2021,322078
376,13-03-2021,322518
377,14-03-2021,322719
378,15-03-2021,322969
379,16-03-2021,323220
380,17-03-2021,323461
381,18-03-2021,323774
382,19-03-2021,324101
383,20-03-2021,324503
384,21-03-2021,324948
385,22-03-2021,325424
386,23-03-2021,326026
387,24-03-2021,326506
388,25-03-2021,327175
389,26-03-2021,327890
390,27-03-2021,328743
391,28-03-2021,329595
392,29-03-2021,330676
393,30-03-2021,331578
394,31-03-2021,332243
395,01-04-2021,333149
396,02-04-2021,334499
397,03-04-2021,335921
398,04-04-2021,337596
399,05-04-2021,339325
400,06-04-2021,341754
401,07-04-2021,343990
402,08-04-2021,346791
403,09-04-2021,350317
404,10-04-2021,354287
405,11-04-2021,358688
406,12-04-2021,363793
407,13-04-2021,369564
408,14-04-2021,375092
409,15-04-2021,381292
410,16-04-2021,387950
411,17-04-2021,395309
412,18-04-2021,404355
413,19-04-2021,414617
414,20-04-2021,426584
415,21-04-2021,438785
416,22-04-2021,453407
417,23-04-2021,467875
418,24-04-2021,483273
419,25-04-2021,498628
420,26-04-2021,514437
421,27-04-2021,530875
422,28-04-2021,546964
423,29-04-2021,563577
424,30-04-2021,580846
425,01-05-2021,598001
426,02-05-2021,615653
427,03-05-2021,633951
428,04-05-2021,651247
429,05-05-2021,668221
430,06-05-2021,685036
431,07-05-2021,702568
432,08-05-2021,720799
433,09-05-2021,738720
434,10-05-2021,755207
435,11-05-2021,771287
436,12-05-2021,787671
437,13-05-2021,803538
438,14-05-2021,817827
439,15-05-2021,831402
440,16-05-2021,841682
441,17-05-2021,853279
442,18-05-2021,863128
443,19-05-2021,872977
